"Pollutant","Level","Results Tested","Grubbs p-value","Outliers Detected","Outlier Participant","Outlier Value"
"co","0-ppm",6,0.2594,0,NA,NA
"co","2-ppm",6,0.3454,0,NA,NA
"co","4-ppm",6,0.474,0,NA,NA
"co","6-ppm",6,0.2644,0,NA,NA
"co","8-ppm",6,0.039,1,"part_1",8.02984114094913
"no","0-ppb",6,0.1344,0,NA,NA
"no","121-ppb",6,0.1879,0,NA,NA
"no","180-ppb",6,0.3358,0,NA,NA
"no","42-ppb",6,0.2846,0,NA,NA
"no","81-ppb",6,0.3787,0,NA,NA
"no2","0-ppb",6,0.2833,0,NA,NA
"no2","120-ppb",6,0.2611,0,NA,NA
"no2","30-ppb",6,0.2461,0,NA,NA
"no2","60-ppb",6,0.0632,0,NA,NA
"no2","90-ppb",6,0.3341,0,NA,NA
"o3","0-ppb",6,0.5668,0,NA,NA
"o3","120-ppb",6,0.347,0,NA,NA
"o3","180-ppb",6,0.4403,0,NA,NA
"o3","40-ppb",6,0.5479,0,NA,NA
"o3","80-ppb",6,0.2855,0,NA,NA
"so2","0-ppb",6,0.5048,0,NA,NA
"so2","100-ppb",6,0.0863,0,NA,NA
"so2","140-ppb",6,0.0551,0,NA,NA
"so2","180-ppb",6,0.2462,0,NA,NA
"so2","60-ppb",6,0.0294,1,"part_1",59.9045161290323
