"Parametro","Valor"
"Media general","7.13409"
"DE de medias","1.01725"
"Varianza de las medias (s_x_bar_sq)","1.03480"
"sw","2.71276"
"Varianza dentro de la muestra (s_w_sq)","7.35905"
"ss","1.62626"
"---",""
"Valor asignado (xpt)","7.85968"
"Mediana de diferencias absolutas","0.01668"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.02473"
"nIQR","0.18147"
"Incertidumbre del valor asignado (u_xpt)","0.00978"
"---",""
"Criterio c","0.00742"
"Criterio c (expandido)","2.72631"
