"pollutant","level","participant_mean","value_1","value_2","value_3","participant_sd","sigma_pt","ref_value","z_score","zeta_score","En_score"
"co","0-ppm",-0.0277273517998126,-0.0335158570855078,-0.0271546366920915,-0.0225115616218386,0.0055244575850387,0.0411843566840626,-0.0277273517998126,0,0,0
"co","2-ppm",2.01493451536643,2.01593393509564,2.01532763808296,2.0135419729207,0.00124349501980218,0.00531001966473315,2.01493451536643,0,0,0
"co","4-ppm",4.02175396825397,4.02206069264069,4.02002588744589,4.02317532467532,0.00159696543562731,0.0112033909090901,4.02175396825397,0,0,0
"co","6-ppm",6.06690276409414,6.06058505747126,6.06387479474548,6.07624844006568,0.00825904578974559,0.00600870689654901,6.06690276409414,0,0,0
"co","8-ppm",8.04595794970162,8.04096747655584,8.0424675831202,8.05443878942881,0.00738282207457701,0.0188282843137222,8.04595794970162,0,0,0
"no","0-ppb",0.628721212121212,0.676230555555556,0.668903535353535,0.541029545454545,0.0760315237802294,0.0689669898989891,0.628721212121212,0,0,0
"no","121-ppb",120.321291172596,120.279920948617,120.321976284585,120.361976284585,0.0410319579600282,0.0424970355727925,120.321291172596,0,0,0
"no","122-ppb",40.7414302325581,40.744976744186,40.7365697674419,40.7427441860465,0.00435478700066344,0.0335399418605152,40.7414302325581,0,0,0
"no","180-ppb",182.289934360102,182.337534653465,182.278239823982,182.25402860286,0.042963784205008,0.121111666667168,182.289934360102,0,0,0
"no","181-ppb",180.221920289855,180.246304347826,180.168369565217,180.251086956522,0.0464378985143084,0.0628663043480859,180.221920289855,0,0,0
"no","182-ppb",76.0979324894515,76.001417721519,76.2176835443038,76.0746962025316,0.109989409938241,0.371500886075972,76.0979324894515,0,0,0
"no","42-ppb",24.6983392156863,24.4251882352941,24.6932235294118,24.9766058823529,0.275744416183736,1.06121735294115,24.6983392156863,0,0,0
"no","81-ppb",80.6785576923077,80.6624615384615,80.6993846153846,80.6738269230769,0.0189106725291145,0.0390713461538382,80.6785576923077,0,0,0
"no","82-ppb",25.6946593406593,25.6815714285714,25.6803076923077,25.7220989010989,0.0237717556182441,0.0638830769231157,25.6946593406593,0,0,0
"no2","0-ppb",0.126268352790481,0.0826775982232872,0.0683045250653847,0.227822935082772,0.0882419752522678,0.0575361573472041,0.126268352790481,0,0,0
"no2","120-ppb",123.040632911392,122.926455696203,122.961898734177,123.233544303797,0.168003441110107,0.524681645569724,123.040632911392,0,0,0
"no2","30-ppb",32.90925,32.90675,32.9036666666667,32.9173333333333,0.007168120007645,0.0213622619047387,32.90925,0,0,0
"no2","60-ppb",65.0157545787546,65.1283076923077,64.9735384615385,64.9454175824176,0.0984827319305558,0.147974065934111,65.0157545787546,0,0,0
"no2","90-ppb",96.8236666666667,96.8223139534884,96.833011627907,96.8156744186047,0.00874740426097781,0.0663901162791221,96.8236666666667,0,0,0
"o3","0-ppb",3.44086021505374e-05,2.58064516129032e-05,2.90322580645161e-05,4.8387096774193e-05,1.22127061200003e-05,2.39193548387097e-05,3.44086021505374e-05,0,0,0
"o3","120-ppb",120.055061176878,119.900236531672,120.234886978193,120.030060020768,0.168720252768577,1.23933185815112,120.055061176878,0,0,0
"o3","180-ppb",177.86966413984,178.830533803552,176.41093030303,178.367528312939,1.28433711543192,0.253289659090974,177.86966413984,0,0,0
"o3","40-ppb",40.5031747631352,40.4500500939629,40.4697095254874,40.5897646699554,0.0756305644849381,0.0763486337208693,40.5031747631352,0,0,0
"o3","80-ppb",80.0271580342877,80.1117322710196,79.7563648659153,80.2133769659282,0.239957529635223,0.0602129892473372,80.0271580342877,0,0,0
"so2","0-ppb",0.0564779874213837,0.0711320754716981,0.039433962264151,0.0588679245283019,0.0159836305250367,0.040572641509434,0.0564779874213837,0,0,0
"so2","100-ppb",99.3574901908329,99.4869234884966,99.1726123595506,99.4129347244515,0.164327245689709,0.775688743980548,99.3574901908329,0,0,0
"so2","140-ppb",139.032969563907,139.111020276379,139.100188557407,138.887699857936,0.125923775113037,0.131254022988585,139.032969563907,0,0,0
"so2","180-ppb",180.613347956423,180.538937266945,180.694086422461,180.607020179864,0.0777678962134797,0.120780412371015,180.613347956423,0,0,0
"so2","20-ppb",19.7374901960784,19.7384705882353,19.7330588235294,19.7409411764706,0.00403159379877745,0.0226811764705729,19.7374901960784,0,0,0
"so2","60-ppb",59.8955913978494,59.9060215053763,59.883440860215,59.897311827957,0.0113882085417932,0.0295005376344397,59.8955913978494,0,0,0
"so2","61-ppb",59.0602880658436,59.068024691358,59.0588888888889,59.053950617284,0.00714059958078242,0.0357018518518118,59.0602880658436,0,0,0
