"Score","Criteria","co","no2","o3","so2"
"z-score","Satisfactory",49,10,29,49
"z-score","Questionable",2,1,2,3
"z-score","Unsatisfactory",3,1,5,2
"z-score","N/A",0,0,0,0
"z'-score","Satisfactory",49,10,31,50
"z'-score","Questionable",3,1,3,2
"z'-score","Unsatisfactory",2,1,2,2
"z'-score","N/A",0,0,0,0
"zeta-score","Satisfactory",54,12,36,54
"zeta-score","Questionable",0,0,0,0
"zeta-score","Unsatisfactory",0,0,0,0
"zeta-score","N/A",0,0,0,0
"En-score","Satisfactory",54,12,36,54
"En-score","Questionable",0,0,0,0
"En-score","Unsatisfactory",0,0,0,0
"En-score","N/A",0,0,0,0
