"","Item","sample_id","sample_1","sample_2","average","range"
"1",1,1,59.8978494623656,59.8387096774194,40.2455197132617,58.8978494623656
"2",2,2,59.8150537634409,59.9365591397849,40.5838709677419,57.9365591397849
"3",3,3,59.9032258064516,59.9462365591398,40.9498207885305,56.9462365591398
"4",4,4,59.8731182795699,59.9021505376344,41.2584229390681,55.9021505376344
"5",5,5,59.9279569892473,59.9118279569892,41.6132616487455,54.9279569892473
"6",6,6,59.9139784946237,59.9634408602151,41.9591397849463,53.9634408602151
"7",7,7,59.9182795698925,59.8333333333333,42.2505376344086,52.9182795698925
"8",8,8,59.9301075268817,59.9322580645161,42.6207885304659,51.9322580645161
"9",9,9,59.8935483870968,59.9075268817204,42.9336917562724,50.9075268817204
"10",10,10,59.8784946236559,59.8720430107527,43.2501792114695,49.8784946236559
